"","X","p34e","p34m","pais","n","nn","Variable.x","Descripción.x","Variable.y","Descripción.y","lon","lat","perc"
"1",1,1,1001,"Honduras",1562,3,"p34m"," Aguascalientes","p34e","Aguascalientes",-102.2915677,21.8852562,0.192061459667093
"2",2,1,1001,"Guatemala",1537,3,"p34m"," Aguascalientes","p34e","Aguascalientes",-102.2915677,21.8852562,0.195185426154847
"3",3,1,1001,"El Salvador",3080,7,"p34m"," Aguascalientes","p34e","Aguascalientes",-102.2915677,21.8852562,0.227272727272727
"4",4,1,1003,"Honduras",1562,3,"p34m"," Calvillo","p34e","Aguascalientes",-102.7186454,21.8468345,0.192061459667093
"5",5,1,1003,"El Salvador",3080,1,"p34m"," Calvillo","p34e","Aguascalientes",-102.7186454,21.8468345,0.0324675324675325
"6",6,1,1006,"Guatemala",1537,1,"p34m"," Pabellón de Arteaga","p34e","Aguascalientes",-102.274822,22.144474,0.0650618087182824
"7",7,2,2001,"Honduras",1562,1,"p34m"," Ensenada","p34e","Baja California",-116.5963713,31.8667427,0.0640204865556978
"8",8,2,2001,"El Salvador",3080,1,"p34m"," Ensenada","p34e","Baja California",-116.5963713,31.8667427,0.0324675324675325
"9",9,2,2002,"Honduras",1562,10,"p34m"," Mexicali","p34e","Baja California",-115.4522623,32.6245389,0.640204865556978
"10",10,2,2002,"El Salvador",3080,5,"p34m"," Mexicali","p34e","Baja California",-115.4522623,32.6245389,0.162337662337662
"11",11,2,2002,"Guatemala",1537,3,"p34m"," Mexicali","p34e","Baja California",-115.4522623,32.6245389,0.195185426154847
"12",12,2,2004,"Honduras",1562,2,"p34m"," Tijuana","p34e","Baja California",-117.0382471,32.5149469,0.128040973111396
"13",13,2,2004,"El Salvador",3080,10,"p34m"," Tijuana","p34e","Baja California",-117.0382471,32.5149469,0.324675324675325
"14",14,2,2004,"Guatemala",1537,2,"p34m"," Tijuana","p34e","Baja California",-117.0382471,32.5149469,0.130123617436565
"15",15,4,4002,"Guatemala",1537,8,"p34m"," Campeche","p34e","Campeche",-90.5349087,19.8301251,0.520494469746259
"16",16,4,4003,"Guatemala",1537,3,"p34m"," Carmen","p34e","Campeche",-91.8074586,18.6504879,0.195185426154847
"17",17,4,4003,"El Salvador",3080,2,"p34m"," Carmen","p34e","Campeche",-91.8074586,18.6504879,0.0649350649350649
"18",18,4,4009,"El Salvador",3080,1,"p34m"," Escárcega","p34e","Campeche",-90.7390245,18.6101834,0.0324675324675325
"19",19,4,4009,"Guatemala",1537,11,"p34m"," Escárcega","p34e","Campeche",-90.7390245,18.6101834,0.715679895901106
"20",20,4,4011,"El Salvador",3080,1,"p34m"," Candelaria","p34e","Campeche",-91.0431367,18.1859294,0.0324675324675325
"21",21,5,5002,"El Salvador",3080,1,"p34m"," Acuña","p34e","Coahuila de Zaragoza",-100.9514187,29.3232963,0.0324675324675325
"22",22,5,5003,"Guatemala",1537,1,"p34m"," Allende","p34e","Coahuila de Zaragoza",-100.850791,28.3498233,0.0650618087182824
"23",23,5,5005,"El Salvador",3080,1,"p34m"," Candela","p34e","Coahuila de Zaragoza",-100.6658581,26.8388667,0.0324675324675325
"24",24,5,5006,"El Salvador",3080,1,"p34m"," Castaños","p34e","Coahuila de Zaragoza",-101.4282369,26.7856514,0.0324675324675325
"25",25,5,5017,"Guatemala",1537,1,"p34m"," Matamoros","p34e","Coahuila de Zaragoza",-103.2259525,25.5260426,0.0650618087182824
"26",26,5,5018,"El Salvador",3080,2,"p34m"," Monclova","p34e","Coahuila de Zaragoza",-101.4215236,26.9080378,0.0649350649350649
"27",27,5,5025,"Guatemala",1537,2,"p34m"," Piedras Negras","p34e","Coahuila de Zaragoza",-100.5408622,28.6916182,0.130123617436565
"28",28,5,5025,"El Salvador",3080,13,"p34m"," Piedras Negras","p34e","Coahuila de Zaragoza",-100.5408622,28.6916182,0.422077922077922
"29",29,5,5025,"Honduras",1562,22,"p34m"," Piedras Negras","p34e","Coahuila de Zaragoza",-100.5408622,28.6916182,1.40845070422535
"30",30,5,5026,"Honduras",1562,1,"p34m"," Progreso","p34e","Coahuila de Zaragoza",-100.9888507,27.4273755,0.0640204865556978
"31",31,5,5028,"Honduras",1562,2,"p34m"," Sabinas","p34e","Coahuila de Zaragoza",-101.1334267,27.8647835,0.128040973111396
"32",32,5,5030,"El Salvador",3080,25,"p34m"," Saltillo","p34e","Coahuila de Zaragoza",-100.973678,25.4383234,0.811688311688312
"33",33,5,5030,"Honduras",1562,9,"p34m"," Saltillo","p34e","Coahuila de Zaragoza",-100.973678,25.4383234,0.57618437900128
"34",34,5,5030,"Guatemala",1537,6,"p34m"," Saltillo","p34e","Coahuila de Zaragoza",-100.973678,25.4383234,0.390370852309694
"35",35,5,5035,"Honduras",1562,7,"p34m"," Torreón","p34e","Coahuila de Zaragoza",-103.4067861,25.5428443,0.448143405889885
"36",36,5,5035,"El Salvador",3080,6,"p34m"," Torreón","p34e","Coahuila de Zaragoza",-103.4067861,25.5428443,0.194805194805195
"37",37,5,5037,"Honduras",1562,1,"p34m"," Villa Unión","p34e","Coahuila de Zaragoza",-100.7255689,28.2237682,0.0640204865556978
"38",38,5,5038,"Guatemala",1537,1,"p34m"," Zaragoza","p34e","Coahuila de Zaragoza",-100.9185477,28.4943597,0.0650618087182824
"39",39,7,7001,"El Salvador",3080,1,"p34m"," Acacoyagua","p34e","Chiapas",-92.6742154,15.3400347,0.0324675324675325
"40",40,7,7001,"Guatemala",1537,2,"p34m"," Acacoyagua","p34e","Chiapas",-92.6742154,15.3400347,0.130123617436565
"41",41,7,7002,"Guatemala",1537,1,"p34m"," Acala","p34e","Chiapas",-92.8069456,16.5534979,0.0650618087182824
"42",42,7,7003,"El Salvador",3080,1,"p34m"," Acapetahua","p34e","Chiapas",-92.6902217,15.2815566,0.0324675324675325
"43",43,7,7004,"Guatemala",1537,2,"p34m"," Altamirano","p34e","Chiapas",-92.0362219,16.7342989,0.130123617436565
