FOLIO,year,TRIM,UNIDAD,CIUDAD,PUNTO,TURNO,SEXO,EDAD,PASMEX,p1,P2G,p2n,p3,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3,p7_4,p7_5_1,p7_5_2,p7_5_3,p7_5_4,p7_6,p7_6_1,p8,p8_1,p9_1,p9_2,p9_3,p9_4,p10,P10_OTRO,p11,P11_OTRO,p11_1d,p11_1m,P11_1U,p11_2e,p11_2m,p11_2c,P11_2U,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18_1,p18_2,p19e1,p19c1,P19U1,p19e2,p19c2,P19U2,p20e,p20c,P20U,p21c,p21t,p22,p22_1,p22_2e,p22_2m,p22_2c,P22_2U,p22_4,p22_5,p23_1,p23_2,p24,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_1_6,p24_1_7,p24_1_8,p24_2,p24_3,p24_4,p25,p25_1c,p25_1t,p25_2,p26c,p26u,p26_1,p27,p27_1c,p27_1u,p27_1_1,p27_2,p28_0_1,p28_0_2,p28_1,p29,p29_1,p29_2,p30,p30_1,p31,p31_1,p31_2,p31_3,p31_4,p32es,p32cn,p32cd,p32_1,p32_2,p32_3c,p32_3t,p32_4,p32_5,p33es,p33cn,p33cd,p34c,p34t,p35,p35_2,p35_3c,p35_3u,p35_3t,p35_4,p36,p36_1,p36_2_1,p36_2_2,p37,p38,p39a,p40a,p40_1,p40_2,p41,p41_1,p42a,p43m,p43a,p44,p45,p45_1,p46,p46_1,Ponfin3,filtro,MP1_1,MP1_2,MP1_3,MP1_4,MP1_5,MP1_6,MP1_7,MP1_8,MP1_9,MP1_10,MP1_11,MP1_12,MP1_13,MP2,MP3,MP4_1,MP4_2,MP4_3,MP4_4,MP4_5,MP4_6,MP4_7,MP4_8,MP4_9,MP4_10,MP4_11,MP5,MP6,MP7_1,MP7_2,MP7_3,MP7_4,MP7_5,MP7_6,MP7_7,MP7_8,MP7_9,MP7_10,MP7_11
48,2014,4,11410,1,1,1,1,18,1,1,2,4,2,2,-1,6,2,2,5,2,2,2,2,7,8,7,8,3,-2,2,1,2,1,2,2,2,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.71634617, ,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
577,2014,4,121411,1,1,1,1,24,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,9998,98,98,99998,999999998,98,98,99998,9999999998,98,98,98,98,98,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1705015,3,2,-2,2,-2,-2,2,3,30,300280037,2,15,999999997,97,28,280320001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,280320001,3,2,2,3500,3,2,1,3500,3,5,3,13,0,0,1,1,2,2,-2,13,0,-3,13,0,48,48225,9999999997,3,3,3,3,1,2,48,48225,9999999997,10,5,1,712,15,3,1,236,24,1500,11,2,1,0,-2,-2,-2,-2,1,1,2005,3,2005,0,0,-4,1,-3,50.60769232, ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
578,2014,4,121411,1,1,1,1,21,1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,998,9998,98,98,99998,999999998,98,98,99998,9999999998,98,98,98,98,98,6,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1215013,1,2,-2,1,5000,3,3,2,15,150370009,2,30,999999997,97,28,280270001,2,2,4,2,2,-2,-2,-2,-2,-2,-2,3,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,280270001,2,4,2,5000,3,1,2,-2,-2,-2,-2,3,10,3,2,2,-2,2,-2,12,0,-3,12,0,45,45069,9999999997,2,3,2,4,1,1,45,45001,9999999997,2,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,1,2013,11,2013,0,0,-4,1,-3,50.60769232, ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
1,2014,1,21401,1,1,1,2,35,1,1,6,2,2,2,-1,2,1,-1,2,1,1,1,1,1,8,5,1,2,-1,1,2,2,2,2,2,1,-9,1,-9,21,2107,2,-2,-2,-2,-2,-2,-2,-2,35,4,1,-2,1,-3,511,1,2,2,1,1,2,2,2,2,12,7,1000,1,5,461,1,1217001,3,2,-2,1,1500,3,0,96,7,70090001,2,13,130480001,2,28,280320001,2,3,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,29,2,3,1500,3,1,1,1500,3,1,1,0,96,0,2,1,2,2,-2,17,0,-3,17,17,48,48215,4821545384,7,3,12,2,2,2,48,48215,4821545384,12,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,20.32444272,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,2014,1,21401,1,1,1,1,31,1,1,6,2,2,2,-1,5,1,-1,4,2,1,1,1,1,1,1,1,2,-1,2,2,2,2,2,1,1,-9,1,-9,22,2208,2,-2,-2,-2,-2,-2,-2,-2,31,4,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,8,6,50,1,2,111,1,1217001,3,2,-2,1,25000,1,0,96,7,70090001,2,9,999999999,99,28,280320001,2,8,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,5,2,3,25000,1,1,1,25000,1,1,1,15,96,0,2,2,-2,2,-2,8,0,-3,8,8,48,48215,4821545384,7,2,10,2,1,2,48,48215,4821545384,10,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,24.9802248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,2014,1,21401,1,1,1,1,24,1,1,3,2,1,2,-1,1,1,-1,6,2,2,2,1,1,1,1,1,2,-1,2,2,2,2,2,2,1,-9,1,-9,7,704,2,-2,-2,-2,-2,-2,-2,-2,24,4,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1312047,3,2,-2,1,18000,1,0,96,28,280320001,2,97,999999997,97,28,280320001,2,4,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,15,2,3,18000,1,1,1,18000,1,1,1,0,96,2,2,2,-2,2,-2,10,0,-3,10,97,48,48215,4821545384,7,3,3,2,2,2,48,48215,4821545384,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,24.9802248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,2014,1,21401,1,1,1,1,18,1,1,3,3,1,2,-1,6,2,2,6,2,2,2,2,1,8,5,8,3,-2,2,2,2,2,2,2,1,-9,1,-9,16,1615,2,-2,-2,-2,-2,-2,-2,-2,18,4,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,1,10000,1,0,96,21,211140001,2,9,999999999,99,28,280320001,2,5,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,5,2,3,11000,1,1,1,10000,1,1,1,0,96,0,2,2,-2,2,-2,10,0,-3,10,10,48,48215,4821545384,7,2,3,2,2,2,48,48215,4821545384,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,24.9802248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,2014,1,21401,1,1,1,2,19,1,2,0,1,2,2,-1,1,2,1,2,0,1,1,2,1,1,1,8,3,-2,2,2,2,2,2,2,1,-9,1,-9,22,2214,2,-2,-2,-2,-2,-2,-2,-2,19,4,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2300000,3,2,-2,1,999997,97,98,98,28,280320001,2,97,999999997,97,28,280320001,2,1,4,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,1,4,3,999997,97,2,1,99997,97,97,1,0,96,2,2,2,-2,2,-2,13,1,0,13,13,48,48215,4821545384,7,2,8,2,2,2,48,48215,4821545384,8,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,20.32444272,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,2014,1,21401,1,1,1,1,20,1,1,3,4,2,2,-1,6,2,2,5,0,5,5,2,1,8,5,8,3,-2,3,2,2,2,2,2,1,-9,1,-9,19,1904,2,-2,-2,-2,-2,-2,-2,-2,20,4,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1217001,3,2,-2,1,999997,97,0,96,11,110070001,2,28,280320001,2,28,280320001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,3,96,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,3,2,3,999997,97,2,1,99997,97,1,1,15,96,0,2,1,2,2,-2,10,0,-3,10,97,48,48201,4820135000,7,5,16,2,2,2,48,48201,4820135000,16,2,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,24.9802248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,2014,1,21401,1,1,1,1,18,1,1,6,2,1,2,-1,6,2,3,6,0,6,6,2,1,8,1,8,3,-2,1,2,2,2,2,1,1,-9,1,-9,7,704,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1217001,3,2,-2,1,45000,1,0,96,22,999999997,97,21,999999997,97,28,280320001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,3,8,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,99,99,280320001,3,2,2,45000,1,1,1,45000,1,7,2,0,96,0,2,1,2,2,-2,20,2,0,8,3,48,48215,4821545384,6,5,1,4,2,2,48,48215,4821545384,1,4,2,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,1,1,2013,12,2013,0,0,-4,1,-3,24.9802248,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
