folio,year,trim,unidad,ciudad,punto,turno,sexo,edad,pasmex,p1,p2g,p2n,p3,p3_1,p3_2,p4,p4_1,p5,p6,p6_1,p7,p7_1,p7_2,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p7_4,p7_4_1,p8,p8_1,p9_1,p9_2,p9_3,p9_4,p10,p11,p11_1d,p11_1m,P11_1u,p11_2e,p11_2m,P11_2l,P11_2u,p11_3es,p11_3cn,p11_3cd,p12c,p12t,p13,p13_1,p13_2,p13_2_1,p13_4,p13_5,p13_6_1,p13_6_2,p13_6_3,p13_6_4,p13_6_5,p13_6_6,p13_6_7,p13_6_8,p13_7,p13_8,p13_9c,p13_9u,p13_9t,p13_10,p14,p14_1,p15,p16,p16_1,p17,p17_1c,p17_1u,p18,p18_1,p19e1,P19l1,P19u1,p19e2,P19l2,P19u2,p20e,P20l,P20u,p21c,p21t,p22,p22_1,p22_2e,p22_2m,P22_2l,P22_2u,p22_4,p22_5,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24,p24_1_1,p24_1_2,p24_1_3,p24_1_4,p24_1_5,p24_1_6,p24_1_7,p24_1_8,p24_1_9,p24_1_10,p24_1_11,p25,p25_1_1,p25_1_2,p25_1_3,p25_1_4,p25_1_5,p25_1_6,p25_1_7,p25_1_8,p25_2,p26,p26_1c,p26_1t,p26_2,p26_3,p27c,p27u,p27_1,p28,p28_1c,p28_1u,p28_1_1,p28_2,p29,p29_1,p30,p31,p31_1,p31_2,p32,p32_1,p33,p33_1,p33_1_1,p33_1_2,p33_1_3,p33_2,p34,p34_1,p35es,p35cn,p35cd,p35_1,p35_2,p35_2_1_1,p35_2_1_2,p35_2_1_3,p35_2_1_4,p35_2_1_5,p35_2_1_6,p35_2_1_7,p35_2_1_8,p35_2_1_9,p35_2_1_10,p35_2_1_11,p35_3c,p35_3t,p35_4,p35_5,p36es,p36cn,p36cd,p37c,p37t,p38,p38_2,p38_2_1,p38_2_2,p38_3c,p38_3u,p38_3t,p38_4,p39,p39_1,p39_2_1,p39_2_2,p40,p41,p42,p43,p43_1,p43_2,p44,p44_1,p45,p46m,p46a,p47,p48,p48_1,p49,p50,p51,p51_1_1,p51_1_2,p51_1_3,p51_1_4,p51_1_5,p51_1_6,p51_1_7,p51_1_8,p51_1_9,p51_1_10,p51_1_11,filtro,ponfin3,t3mp1_1,t3mp1_2,t3mp1_3,t3mp1_4,t3mp1_5,t3mp1_6,t3mp2,t3mp3,t3mp4_1,t3mp4_2,t3mp4_3,t3mp4_4,t3mp4_5,t3mp4_6,t3mp4_7,t3mp5,t3mp6_1,t3mp6_2,t3mp6_3,t3mp6_4,t3mp6_5,t3mp6_6,t3mp7
1,2015,2,61504,1,1,1,1,35,1,1,3,2,2,2,2,2,-1,5,1,-1,4,1,1,1,1,1,3,1,1,2,2,2,2,2,2,1,1,8,801,1,-2,-2,-2,-2,-2,-2,-2,1,4,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,8,6,99998,98,98,111,1,1217001,3,2,-2,1,8000,1,0,0,9,999999999,99,26,260020001,2,26,260020001,2,2,4,1,-2,24,99999,999999999,98,732,322,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,260020001,1,4,1,1,4000,2,2,2,-2,-2,-2,-2,0,0,0,7,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,4,99999,9999999997,7,4,2,2,2,1,1,2,2,2,2,2,2,8,4,2,1,48,48215,4821545384,998,98,98,998,98,98,99998,98,98,998,98,99998,98,98,98,998,9998,9998,98,98,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,11.44890493, , , , , , , , , , , , , , , , , , , , , , , 
1,2015,4,51510,1,1,1,1,62,1,2,0,1,2,2,2,2,-1,5,1,-1,6,3,1,8,1,1,1,2,-1,2,2,2,2,2,2,1,1,1,107,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,611,6,2,2,2,2,2,2,2,2,8,6,175,1,2,111,1,1705099,3,2,-2,2,-2,-2,0,0,7,70270001,2,30,301740001,2,30,301180001,2,30,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,1,2,1,2,2,5,50250001,8,2,1,1,8000,1,2,2,-2,-2,-2,-2,0,0,0,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48029,4802965000,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,42,2,2,1,48,48029,4802965000,43,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,2,2,2005,8,2015,0,0,-3,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,19.719259, , , , , , , , , , , , , , , , , , , , , , , 
2,2015,2,61504,1,1,1,1,32,1,1,6,2,2,2,2,1,2,6,2,2,3,3,2,3,8,5,3,1,1,3,2,2,2,2,2,1,3,-3,-3,-3,-3,-3,-3,-3,48,48113,4811319000,17,4,1,-2,1,-3,713,6,2,2,2,2,2,2,2,2,8,6,100,3,2,236,1,9999997,3,2,-2,2,-2,-2,5,2,7,70270001,2,9,999999999,99,28,280220001,2,33,2,2,2,-2,-2,-2,-2,-2,-2,1,2,1,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280220001,2,2,1,4,4000,3,1,1,3800,3,2,3,4,0,0,2,1,97,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48113,4811319000,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,4,2,1,48,48113,4811319000,17,5,1,713,8,6,100,3,2,236,6,200,4,6,1,0,-2,-2,-2,-2,1,-3,-3,5,1998,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,11.44890493, , , , , , , , , , , , , , , , , , , , , , , 
3,2015,2,61504,1,1,1,1,37,1,2,0,1,2,2,2,2,-1,6,2,2,97,97,2,1,8,1,1,2,-1,2,2,2,2,2,2,1,3,-3,-3,-3,-3,-3,-3,-3,48,48201,4820135000,6,4,1,-2,1,-3,712,6,2,2,2,2,2,2,2,2,8,6,400,3,3,236,1,1705016,3,2,-2,2,-2,-2,0,0,28,280320001,2,24,240280001,2,28,280320001,2,30,2,2,2,-2,-2,-2,-2,-2,-2,2,1,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,4,2,1,4,2500,3,1,2,-2,-2,-2,-2,0,0,1,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48201,4820135000,3,3,2,2,2,1,2,2,2,2,2,2,2,2,5,2,1,48,48201,4820135000,6,5,1,712,8,6,400,3,3,236,5,300,4,5,2,0,-2,-2,-2,-2,1,-3,-3,5,2007,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,11.44890493, , , , , , , , , , , , , , , , , , , , , , , 
4,2015,2,61504,1,1,1,1,29,1,1,6,2,2,2,2,1,2,6,2,2,3,1,1,1,8,5,1,2,-1,1,2,2,2,2,2,1,1,1,101,1,-2,-2,-2,-2,-2,-2,-2,8,4,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1705016,3,2,-2,1,6500,3,0,0,98,999999998,98,98,999999998,98,98,999999998,98,998,98,98,98,98,99998,999999998,98,998,998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,999999998,998,98,98,98,999998,98,98,98,999998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,99998,9999999998,98,98,98,98,98,98,98,98,98,98,98,98,98,998,98,98,98,98,99998,9999999998,998,98,98,998,98,98,99998,98,98,998,98,99998,98,98,98,998,9998,9998,98,98,98,98,9998,98,9998,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,1,11.44890493, , , , , , , , , , , , , , , , , , , , , , , 
4,2015,4,51510,1,1,1,1,52,1,1,3,3,2,2,2,2,-1,5,1,-1,5,2,1,8,1,1,1,2,-1,2,2,2,2,1,2,1,1,4,406,2,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,411,6,2,2,2,2,2,2,2,2,9,6,400,1,2,461,1,1217001,3,2,-2,2,-2,-2,0,0,9,999999999,99,19,190390001,2,9,999999999,99,1,4,2,2,-2,-2,-2,-2,-2,-2,1,2,1,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,1,1,2,1,2,2,2,5,280220001,5,2,1,2,5000,1,2,2,-2,-2,-2,-2,0,0,0,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48061,4806110768,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,48,2,1,1,48,48061,4806110768,48,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,-3,-3,8,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,19.719259, , , , , , , , , , , , , , , , , , , , , , , 
5,2015,4,51510,1,1,1,2,34,1,1,3,3,2,2,2,2,-1,6,2,2,9,4,2,1,8,5,8,3,-2,2,2,1,2,2,2,1,1,18,1801,1,-2,-2,-2,-2,-2,-2,-2,0,5,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1705099,3,2,-2,1,3000,3,8,0,9,999999999,99,19,190390001,2,9,999999999,99,30,2,2,2,-2,-2,-2,-2,-2,-2,2,2,1,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280070001,3,2,1,2,3000,3,1,2,-2,-2,-2,-2,0,0,1,2,97,97,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48061,4806110768,7,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7,2,2,1,48,48061,4806110768,7,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,1,0,-2,-2,-2,-2,2,2,2015,9,2015,0,0,-3,2,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,11.272088, , , , , , , , , , , , , , , , , , , , , , , 
5,2015,2,61504,1,1,1,1,32,1,1,3,2,2,2,2,2,-1,6,2,2,10,5,2,1,8,5,5,1,1,2,2,1,2,2,2,1,1,2,210,1,-2,-2,-2,-2,-2,-2,-2,0,5,1,-2,1,-3,922,6,2,2,2,2,2,2,2,2,8,6,120,1,2,236,1,1312047,3,2,-2,2,-2,-2,0,0,7,70270001,2,30,301930001,2,7,70270001,2,10,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280270001,4,2,1,2,3000,3,1,1,1800,3,2,3,0,0,0,2,97,97,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,6,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,4,2,1,48,48215,4821545384,3,4,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,3,3,2004,1,2015,0,0,-3,3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,11.44890493, , , , , , , , , , , , , , , , , , , , , , , 
6,2015,4,51510,1,1,1,1,21,1,1,6,2,2,2,2,2,-1,6,2,2,5,2,2,1,8,1,8,3,-2,2,2,1,2,2,2,1,1,8,801,2,-2,-2,-2,-2,-2,-2,-2,0,5,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1705099,3,2,-2,2,-2,-2,0,0,7,70270001,2,30,300280037,2,28,280320001,2,25,2,2,2,-2,-2,-2,-2,-2,-2,1,1,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,2,3000,3,1,1,2000,3,2,3,0,0,1,2,2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,48,48215,4821545384,4,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,8,2,2,2,48,48215,4821545384,8,2,2,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,2,0,-2,-2,-2,-2,1,-3,-3,9,2015,0,0,-3,1,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,19.719259, , , , , , , , , , , , , , , , , , , , , , , 
6,2015,2,61504,1,1,1,1,29,1,1,3,3,2,2,2,1,1,5,1,-1,3,1,1,1,3,1,8,3,-2,2,2,1,2,2,2,1,3,-3,-3,-3,-3,-3,-3,-3,12,12086,1208645000,3,4,1,-2,1,-3,710,6,2,2,2,2,2,2,2,2,8,6,150,3,2,236,1,1705016,3,2,-2,2,-2,-2,0,0,24,240280001,2,28,280320001,2,24,240280001,2,15,2,2,2,-2,-2,-2,-2,-2,-2,1,2,2,2,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,280320001,5,2,1,4,1000,3,2,1,1500,3,2,3,0,0,0,2,1,2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,12,12086,1208645000,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,4,1,1,12,12086,1208645000,3,5,1,710,8,6,150,3,2,236,12,150,4,6,1,0,-2,-2,-2,-2,2,2,2012,2,2012,0,0,-3,2,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,11.44890493, , , , , , , , , , , , , , , , , , , , , , , 
