Variable,Valor,Etiqueta
trim,1,Ene-Mar 2017
trim,2,Abr-Jun 2017
trim,3,Jul-Sep 2017
trim,4,Oct-Dic 2017
punto,97,No sabe
punto,98,No responde
punto,99,No especificado
p1,1,Hombre
p1,2,Mujer
p1,97,No sabe
p1,98,No responde
p1,99,No especificado
p2,97,No sabe
p2,98,No responde
p2,99,No especificado
p3a,0,Ninguno
p3a,97,No sabe
p3a,98,No responde
p3a,99,No especificado
p3n,0,Ninguno
p3n,1,Primaria
p3n,2,Básicos o secundaria
p3n,3,"Diversificados, bachillerato, magisterio, técnico, etc."
p3n,4,Universidad o más
p3n,97,No sabe
p3n,98,No responde
p3n,99,No especificado
p4,-1,Aprobó de básicos-secundaria en adelante
p4,1,Sí
p4,2,No
p4,97,No sabe
p4,98,No responde
p4,99,No especificado
p5,1,Sí
p5,2,No
p5,97,No sabe
p5,98,No responde
p5,99,No especificado
p5_1,1,Sí
p5_1,2,No
p5_1,97,No sabe
p5_1,98,No responde
p5_1,99,No especificado
p5_2,1,Sí
p5_2,2,No
p5_2,97,No sabe
p5_2,98,No responde
p5_2,99,No especificado
p6,1,Sí
p6,2,No
p6,97,No sabe
p6,98,No responde
p6,99,No especificado
p6_1,-2,No habla inglés
p6_1,1,Muy bien
p6_1,2,Bien
p6_1,3,Regular
p6_1,4,Mal
p6_1,5,Muy mal
p6_1,97,No sabe
p6_1,98,No responde
p6_1,99,No especificado
p7,1,vive en unión libre?
p7,2,es separado(a)?
p7,3,es divorciado(a)?
p7,4,es viudo(a)?
p7,5,es casado(a)?
p7,6,es soltero(a)?
p7,97,No sabe
p7,98,No responde
p7,99,No especificado
p8,1,Sí
p8,2,No
p8,97,No sabe
p8,98,No responde
p8,99,No especificado
p8_1,-3,Es el(la) jefe(a) del hogar
p8_1,1,"Esposo, esposa o pareja"
p8_1,2,Padre o madre
p8_1,3,Hermano o hermana
p8_1,4,Hijo o hija
p8_1,5,Otro parentesco
p8_1,6,Sin relación de parentesco
p8_1,97,No sabe
p8_1,98,No responde
p8_1,99,No especificado
p9,1,Vive solo(a)
p9,97,No sabe
p9,98,No responde
p9,99,No especificado
p9_1,-4,Vive solo(a)
p9_1,0,Ninguna
p9_1,97,No sabe
p9_1,98,No responde
p9_1,99,No especificado
p9_2,-4,Vive solo(a)
p9_2,1,Sí
p9_2,2,No
p9_2,97,No sabe
p9_2,98,No responde
p9_2,99,No especificado
p9_3_1,0,No tiene
p9_3_1,1,Honduras
p9_3_1,2,México
p9_3_1,3,Estados Unidos
p9_3_1,4,Honduras/México
p9_3_1,5,Honduras/Estados Unidos
p9_3_1,6,México/Estados Unidos
p9_3_1,7,Otro
p9_3_1,97,No sabe
p9_3_1,98,No responde
p9_3_1,99,No especificado
p9_3_2,0,No tiene
p9_3_2,1,Honduras
p9_3_2,2,México
p9_3_2,3,Estados Unidos
p9_3_2,4,Honduras/México
p9_3_2,5,Honduras/Estados Unidos
p9_3_2,6,México/Estados Unidos
p9_3_2,7,Otro
p9_3_2,97,No sabe
p9_3_2,98,No responde
p9_3_2,99,No especificado
p9_3_3,0,No tiene
p9_3_3,1,Honduras
p9_3_3,2,México
p9_3_3,3,Estados Unidos
p9_3_3,4,Honduras/México
p9_3_3,5,Honduras/Estados Unidos
p9_3_3,6,México/Estados Unidos
p9_3_3,7,Otro
p9_3_3,97,No sabe
p9_3_3,98,No responde
p9_3_3,99,No especificado
p9_3_4,0,No tiene
p9_3_4,1,Honduras
p9_3_4,2,México
p9_3_4,3,Estados Unidos
p9_3_4,4,Honduras/México
p9_3_4,5,Honduras/Estados Unidos
p9_3_4,6,México/Estados Unidos
p9_3_4,7,Otro
p9_3_4,97,No sabe
p9_3_4,98,No responde
p9_3_4,99,No especificado
p9_4_1,1,Sí
p9_4_1,2,No
p9_4_1,97,No sabe
p9_4_1,98,No responde
p9_4_1,99,No especificado
p9_4_2,1,Sí
p9_4_2,2,No
p9_4_2,97,No sabe
p9_4_2,98,No responde
p9_4_2,99,No especificado
p9_4_3,1,Sí
p9_4_3,2,No
p9_4_3,97,No sabe
p9_4_3,98,No responde
p9_4_3,99,No especificado
p10p,1,Guatemala
p10p,2,Honduras
p10p,3,El Salvador
p10p,4,México
p10p,5,Estados Unidos
p10p,6,Anguila
p10p,7,Antigua y Barbuda
p10p,8,Antillas Neerlandesas (Holandesas)
p10p,9,Argentina
p10p,10,Aruba
p10p,11,Belice
