Variable,Valor,Etiqueta
trim,1,Ene - Mar 2017
trim,2,Abr - Jun 2017
trim,3,Jul - Sep 2017
trim,4,Oct - Dic 2017
sexo,1,Hombre
sexo,2,Mujer
sexo,97,No sabe
sexo,98,No responde
sexo,99,No especificado
edad,97,No sabe
edad,98,No responde
edad,99,No especificado
pasmex,-1,Menor de 15 años
pasmex,1,Sí
pasmex,2,No
pasmex,97,No sabe
pasmex,98,No responde
pasmex,99,No especificado
p1a,0,Ninguno
p1a,97,No sabe
p1a,98,No responde
p1a,99,No especificado
p1n,0,Ninguno
p1n,1,Primaria
p1n,2,Básicos o secundaria
p1n,3,"Diversificados, bachillerato, magisterio, técnico, etc."
p1n,4,Universidad o más
p1n,97,No sabe
p1n,98,No responde
p1n,99,No especificado
p2,-2,El último año de escuela que aprobó es desde básicos o secundaria en adelante
p2,1,Sí
p2,2,No
p2,97,No sabe
p2,98,No responde
p2,99,No especificado
p3,1,Sí
p3,2,No
p3,97,No sabe
p3,98,No responde
p3,99,No especificado
p3_1,1,Sí
p3_1,2,No
p3_1,97,No sabe
p3_1,98,No responde
p3_1,99,No especificado
p3_2,1,Sí
p3_2,2,No
p3_2,97,No sabe
p3_2,98,No responde
p3_2,99,No especificado
p4,1,Sí
p4,2,No
p4,97,No sabe
p4,98,No responde
p4,99,No especificado
p4_1,-3,No habla inglés
p4_1,1,Muy bien
p4_1,2,Bien
p4_1,3,Regular
p4_1,4,Mal
p4_1,5,Muy mal
p4_1,97,No sabe
p4_1,98,No responde
p4_1,99,No especificado
p5,1,vive en unión libre?
p5,2,es separado(a)?
p5,3,es divorciado(a)?
p5,4,es viudo(a)?
p5,5,es casado(a)?
p5,6,soltero(a)?
p5,97,No sabe
p5,98,No responde
p5,99,No especificado
p6,1,Sí
p6,2,No
p6,97,No sabe
p6,98,No responde
p6,99,No especificado
p6_1,-4,En su hogar es el(la) jefe(a) del hogar
p6_1,1,"Esposo, esposa o pareja"
p6_1,2,Padre o madre
p6_1,3,Hermano o hermana
p6_1,4,Hijo o hija
p6_1,5,Otro parentesco
p6_1,6,Sin relación de parentesco
p6_1,97,No sabe
p6_1,98,No responde
p6_1,99,No especificado
p7,1,Vive solo(a)
p7,97,No sabe
p7,98,No responde
p7,99,No especificado
p7_1,-5,Vive solo(a)
p7_1,0,Ninguna
p7_1,97,No sabe
p7_1,98,No responde
p7_1,99,No especificado
p7_2,-5,Vive solo(a)
p7_2,1,Sí
p7_2,2,No
p7_2,97,No sabe
p7_2,98,No responde
p7_2,99,No especificado
p7_3_1,0,No tiene
p7_3_1,1,Honduras
p7_3_1,2,México
p7_3_1,3,Estados Unidos
p7_3_1,4,Honduras/México
p7_3_1,5,Honduras/Estados Unidos
p7_3_1,6,México/Estados Unidos
p7_3_1,7,Otro
p7_3_1,97,No sabe
p7_3_1,98,No responde
p7_3_1,99,No especificado
p7_3_2,0,No tiene
p7_3_2,1,Honduras
p7_3_2,2,México
p7_3_2,3,Estados Unidos
p7_3_2,4,Honduras/México
p7_3_2,5,Honduras/Estados Unidos
p7_3_2,6,México/Estados Unidos
p7_3_2,7,Otro
p7_3_2,97,No sabe
p7_3_2,98,No responde
p7_3_2,99,No especificado
p7_3_3,0,No tiene
p7_3_3,1,Honduras
p7_3_3,2,México
p7_3_3,3,Estados Unidos
p7_3_3,4,Honduras/México
p7_3_3,5,Honduras/Estados Unidos
p7_3_3,6,México/Estados Unidos
p7_3_3,7,Otro
p7_3_3,97,No sabe
p7_3_3,98,No responde
p7_3_3,99,No especificado
p7_3_4,0,No tiene
p7_3_4,1,Honduras
p7_3_4,2,México
p7_3_4,3,Estados Unidos
p7_3_4,4,Honduras/México
p7_3_4,5,Honduras/Estados Unidos
p7_3_4,6,México/Estados Unidos
p7_3_4,7,Otro
p7_3_4,97,No sabe
p7_3_4,98,No responde
p7_3_4,99,No especificado
p7_4,-6,No tiene hijos(as)
p7_4,1,Sí
p7_4,2,No
p7_4,3,No tiene hijos(as) menores de 15 años en Estados Unidos
p7_4,97,No sabe
p7_4,98,No responde
p7_4,99,No especificado
p7_4_1,-7,No dejó o no tiene hijos(as) menores de 15 años en EUA
p7_4_1,-6,No tiene hijos(as)
p7_4_1,97,No sabe
p7_4_1,98,No responde
p7_4_1,99,No especificado
p8,1,Muy bueno
p8,2,Bueno
p8,3,Regular
p8,4,Malo
p8,5,Muy malo
p8,97,No sabe
p8,98,No responde
p8,99,No especificado
