,year,sex,age,read_write,head_house,home_dept,mex_port,fellow_travs,trans_crossm,coyote_usd,country,deported,first_citynew,second_citynew,long_citynew,deported_place,mex_port_lat,mex_port_long,firstcity_lat,firstcity_long,secondcity_lat,secondcity_long,longcity_lat,longcity_long,deported_lat,deported_long
0,2017,Hombre,22,Aprobó de básicos-secundaria en adelante,Sí,La Paz,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Arriaga , Chiapas","Veracruz , Veracruz de Ignacio de la Llave","Arriaga , Chiapas","Piedras Negras, Coahuila de Zaragoza",14.679726,-92.150326,16.2371385,-93.8986279,19.173773,-96.1342241,16.2371385,-93.8986279,28.6916182,-100.5408622
1,2017,Hombre,36,Aprobó de básicos-secundaria en adelante,Sí,Cortés,"Ciudad Hidalgo, Chiapas",2,Autobús o camioneta,7000,El Salvador,Mexico,"Villahermosa , Tabasco","Arriaga , Chiapas","Veracruz , Veracruz de Ignacio de la Llave","Piedras Negras, Coahuila de Zaragoza",14.679726,-92.150326,17.989456,-92.9475061,16.2371385,-93.8986279,19.173773,-96.1342241,28.6916182,-100.5408622
2,2017,Hombre,32,Aprobó de básicos-secundaria en adelante,Sí,Choluteca,"Cuauhtémoc, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"San Luis Potosí , San Luis Potosí","Tapanalá , Oaxaca","Tuxtla Gutiérrez , Chiapas","San Pedro Tapanatepec, Oaxaca",15.665483,-92.003579,22.1564699,-100.9855409,15.9655555,-95.72583329999999,16.7516009,-93.1029939,16.3693859,-94.1944784
3,2017,Hombre,33,Aprobó de básicos-secundaria en adelante,Sí,Choluteca,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Ciudad Hidalgo , Chiapas","Ciudad Ixtepec , Oaxaca","Arriaga , Chiapas","Matías Romero, Oaxaca",14.679726,-92.150326,14.6796279,-92.1525959,16.5611267,-95.0963141,16.2371385,-93.8986279,16.8681196,-95.0442567
4,2017,Hombre,29,Aprobó de básicos-secundaria en adelante,No,Comayagua,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Tapachula de Córdova y Ordóñez , Chiapas","Ciudad Ixtepec , Oaxaca","Veracruz, Veracruz de Ignacio de la Llave",14.679726,-92.150326,14.9055599,-92.26342059999999,14.9055599,-92.26342059999999,16.5611267,-95.0963141,19.173773,-96.1342241
5,2017,Hombre,23,Aprobó de básicos-secundaria en adelante,No,Cortés,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Ciudad Ixtepec , Oaxaca","Ciudad Ixtepec , Oaxaca","Ciudad Ixtepec , Oaxaca","Ciudad Ixtepec, Oaxaca",14.679726,-92.150326,16.5611267,-95.0963141,16.5611267,-95.0963141,16.5611267,-95.0963141,16.5611267,-95.0963141
6,2017,Hombre,38,Aprobó de básicos-secundaria en adelante,Sí,Colón,"Carmen Xhán, Chiapas",2,Autobús o camioneta,1000,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Acayucan , Veracruz de Ignacio de la Llave","Tapachula de Córdova y Ordóñez , Chiapas","Acayucan, Veracruz de Ignacio de la Llave",16.043086,-91.755012,14.9055599,-92.26342059999999,17.949192,-94.91459739999999,14.9055599,-92.26342059999999,17.949192,-94.91459739999999
7,2017,Hombre,18,Aprobó de básicos-secundaria en adelante,No,Francisco Morazán,"Ciudad Hidalgo, Chiapas",3,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Arriaga , Chiapas","Tapachula de Córdova y Ordóñez , Chiapas","San Luis Potosí , San Luis Potosí","San Luis Potosí, San Luis Potosí",14.679726,-92.150326,16.2371385,-93.8986279,14.9055599,-92.26342059999999,22.1564699,-100.9855409,22.1564699,-100.9855409
8,2017,Hombre,30,Aprobó de básicos-secundaria en adelante,Sí,La Paz,"Cuauhtémoc, Chiapas",En este viaje iba solo(a),Ninguno (caminando o nadando),En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Comitán de Domínguez , Chiapas","Tuxtla Gutiérrez , Chiapas","Comitán de Domínguez , Chiapas","Tuxtla Gutiérrez, Chiapas",15.665483,-92.003579,16.2299602,-92.1155691,16.7516009,-93.1029939,16.2299602,-92.1155691,16.7516009,-93.1029939
9,2017,Hombre,29,Aprobó de básicos-secundaria en adelante,Sí,Choluteca,"Ciudad Hidalgo, Chiapas",3,Autobús o camioneta,En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Huixtán , Chiapas","Huixtán , Chiapas","Huixtán, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,16.7106573,-92.4534661,16.7106573,-92.4534661,16.7106573,-92.4534661
10,2017,Hombre,22,Sí,Sí,Choluteca,"Ciudad Hidalgo, Chiapas",En este viaje iba solo(a),"Balsas (cámaras de llanta, tambos, maderos)",En este viaje no contrató alguna persona que lo guiara en su tránsito por México,El Salvador,Mexico,"Tapachula de Córdova y Ordóñez , Chiapas","Huixtla , Chiapas","Tapachula de Córdova y Ordóñez , Chiapas","Huixtán, Chiapas",14.679726,-92.150326,14.9055599,-92.26342059999999,15.137663,-92.46591889999999,14.9055599,-92.26342059999999,16.7106573,-92.4534661
