,year,sex,age,read_write,head_house,home_dept,mex_port,trans_crossm,coyote_usd,trans_crossu,reason,fellow_trav,country,deported,first_citynew,second_citynew,long_citynew,us_entrynew,mex_port_lat,mex_port_long,us_entry_lat,us_entry_long
0,2017,Hombre,47,Sí,Sí,Choluteca,"Cuauhtémoc, Chiapas",Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,Ninguno (caminando o nadando),Buscar trabajo,Ninguna,El Salvador,USA,"Heróica Puebla de Zaragoza , Puebla","San Luis Potosí , San Luis Potosí","Monterrey , Nuevo León","Nuevo Laredo , Tamaulipas",15.665483,-92.003579,27.41546,-99.541843
1,2017,Hombre,19,Sí,No,Francisco Morazán,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,2500,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,5,El Salvador,USA,"Reynosa , Tamaulipas","Tapachula de Córdova y Ordóñez , Chiapas","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859
2,2017,Hombre,18,Sí,No,Francisco Morazán,"Cuauhtémoc, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Buscar trabajo,2,El Salvador,USA,"Heróica Puebla de Zaragoza , Puebla","Monterrey , Nuevo León","Heróica Puebla de Zaragoza , Puebla","Nuevo Laredo , Tamaulipas",15.665483,-92.003579,27.41546,-99.541843
3,2017,Hombre,19,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,3000,"Balsas (cámaras de llanta, tambos, maderos)",Estudiar,6,El Salvador,USA,"Benito Juárez , Distrito Federal","Tapachula de Córdova y Ordóñez , Chiapas","Monterrey , Nuevo León","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859
4,2017,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Copan,"Cuauhtémoc, Chiapas",Autobús o camioneta,No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna,El Salvador,USA,"Tapachula de Córdova y Ordóñez , Chiapas","Monterrey , Nuevo León","Reynosa , Tamaulipas","Reynosa , Tamaulipas",15.665483,-92.003579,25.836636,-98.370859
5,2017,Hombre,32,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Copan,"Ciudad Hidalgo, Chiapas",Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,Ninguna,El Salvador,USA,"Chiapa de Corzo , Chiapas","Tierra Blanca , Veracruz de Ignacio de la Llave","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859
6,2017,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Francisco Morazán,"Cuauhtémoc, Chiapas",Ninguno (caminando o nadando),No contrató persona o pollero para que le ayudara a transitar por México para llegar a la frontera de EUA,"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,4,El Salvador,USA,"Arriaga , Chiapas","Reynosa , Tamaulipas","Veracruz , Veracruz de Ignacio de la Llave","Reynosa , Tamaulipas",15.665483,-92.003579,25.836636,-98.370859
7,2017,Hombre,34,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Francisco Morazán,"Cuauhtémoc, Chiapas",Autobús o camioneta,800,"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,16,El Salvador,USA,"Veracruz , Veracruz de Ignacio de la Llave","Monterrey , Nuevo León","Monterrey , Nuevo León","Reynosa , Tamaulipas",15.665483,-92.003579,25.836636,-98.370859
8,2017,Hombre,24,El último año de escuela que aprobó es desde básicos o secundaria en adelante,Sí,Choluteca,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,8500,"Balsas (cámaras de llanta, tambos, maderos)",Reunirse con familiares,Ninguna,El Salvador,USA,"Arriaga , Chiapas","Veracruz , Veracruz de Ignacio de la Llave","Veracruz , Veracruz de Ignacio de la Llave","Heroica Matamoros , Tamaulipas",14.679726,-92.150326,25.554056,-97.491149
9,2017,Hombre,21,El último año de escuela que aprobó es desde básicos o secundaria en adelante,No,Islas de la Bahía,"Ciudad Hidalgo, Chiapas",Autobús o camioneta,4000,"Balsas (cámaras de llanta, tambos, maderos)",Trabajar,6,El Salvador,USA,"Tapachula de Córdova y Ordóñez , Chiapas","Reynosa , Tamaulipas","Reynosa , Tamaulipas","Reynosa , Tamaulipas",14.679726,-92.150326,25.836636,-98.370859
