,mex_port,mex_port_lat,mex_port_long,index,sum,city_lat,city_long
0,"Talismán, Chiapas",14.962767999999999,-92.148176,"Isla , Veracruz de Ignacio de la Llave",1.0,18.028804,-95.52806299999999
1,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"San Juan Cuautlancingo , Puebla",1.0,19.0839687,-98.2668451
2,"Carmen Xhán, Chiapas",16.043086,-91.755012,"San Jorge Pueblo Nuevo , México",1.0,19.2474122,-99.61395410000002
3,"El Ceibo, Tabasco",17.261546,-90.994378,"Chapala , Jalisco",1.0,20.2971255,-103.1889464
4,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Hidalgo , Chiapas",1.0,14.6796279,-92.1525959
5,"El Martillo, Tabasco",17.278333,-91.021111,"Paso del Toro , Veracruz de Ignacio de la Llave",1.0,19.0313169,-96.1354683
6,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Paraíso , Tabasco",1.0,18.4006144,-93.2127162
7,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Ciudad Hidalgo , Chiapas",1.0,14.6796279,-92.1525959
8,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Palomas , Chihuahua",1.0,31.7808759,-107.6309084
9,"Carmen Xhán, Chiapas",16.043086,-91.755012,Otras Ciudades de Chihuahua,1.0,28.6329957,-106.0691004
10,"El Ceibo, Tabasco",17.261546,-90.994378,"Ciudad Serdán , Puebla",1.0,18.9844003,-97.4543626
11,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Ciudad del Carmen , Campeche",1.0,18.6504879,-91.80745859999999
12,"Frontera Corozal, Chiapas",16.814734,-90.884703,"Morelia , Michoacán de Ocampo",1.0,19.7059504,-101.1949825
13,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Comonfort , Guanajuato",1.0,20.7197856,-100.7596892
14,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"León de los Aldama , Guanajuato",1.0,21.1250077,-101.6859605
15,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Cuajimalpa de Morelos , Distrito Federal",1.0,19.3631419,-99.28805969999999
16,"El Martillo, Tabasco",17.278333,-91.021111,"Cuautla , Morelos",1.0,18.8126047,-98.9548261
17,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Juventino Rosas , Guanajuato",1.0,20.6440308,-100.9932881
18,"Talismán, Chiapas",14.962767999999999,-92.148176,"Juanacatlán , Jalisco",1.0,20.5084132,-103.1684561
19,"El Ceibo, Tabasco",17.261546,-90.994378,"Jamay , Jalisco",1.0,20.2960475,-102.7106394
20,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"El Rosario , Sinaloa",1.0,22.75,-105.371111
21,"Unión Juárez, Chiapas",15.071193,-92.091311,"Zacatlán , Puebla",1.0,19.9350819,-97.9611534
22,"El Ceibo, Tabasco",17.261546,-90.994378,"Fray Bernardino de Sahagún , Ciudad Sahagún , Hidalgo",1.0,19.7758168,-98.57593020000002
23,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Gabriel Leyva Solano , Benito Juárez , Sinaloa",1.0,25.6637607,-108.6370444
24,"Talismán, Chiapas",14.962767999999999,-92.148176,"García , Nuevo León",1.0,25.801032,-100.5861995
25,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Hidalgo del Parral , Chihuahua",1.0,26.9317835,-105.6666166
26,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"San Juan de los Lagos , Jalisco",1.0,21.2474689,-102.3316999
27,"El Ceibo, Tabasco",17.261546,-90.994378,"San Pablo Autopan , México",1.0,19.3567572,-99.6589726
28,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Heroica Ciudad de Juchitán de Zaragoza , Oaxaca",1.0,16.4406909,-95.0221197
29,"Unión Juárez, Chiapas",15.071193,-92.091311,"Teapa , Tabasco",1.0,17.5609321,-92.9519802
30,"Talismán, Chiapas",14.962767999999999,-92.148176,"San Pedro , Coahuila de Zaragoza",1.0,25.7572143,-102.9838564
31,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326," Gabriel Leyva Solano , Sinaloa",1.0,25.6637607,-108.6370444
32,"Carmen Xhán, Chiapas",16.043086,-91.755012,"San Pedro Totoltepec , México",1.0,19.3117967,-99.5704509
33,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Tabasco Nuevo , Tabasco",1.0,32.6492905,-115.5045911
34,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Tecomán , Colima",1.0,18.9173829,-103.8738031
35,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Amecameca de Juárez , México",1.0,19.1252361,-98.76711309999999
36,"Talismán, Chiapas",14.962767999999999,-92.148176,"San Pablo Oztotepec , Distrito Federal",1.0,19.1861266,-99.0709315
37,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Vicente Guerrero , Algodones , Baja California",1.0,32.7134113,-114.7365544
38,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Santiago , Nuevo León",1.0,25.4166153,-100.1591213
39,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Macuspana , Tabasco",2.0,17.7607017,-92.5936096
40,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Cuauhtémoc , Distrito Federal",2.0,19.4356338,-99.1495107
41,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Acatlán de Osorio , Puebla",2.0,18.2019204,-98.0484434
42,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Tres Valles , Veracruz de Ignacio de la Llave",2.0,18.2376942,-96.1368511
43,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"San Miguel Ajusco , Distrito Federal",2.0,19.2252505,-99.2007328
44,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Vicente Guerrero , Durango",2.0,23.7321074,-103.9832684
45,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Esperanza , Sonora",2.0,27.5800122,-109.9297789
46,"Talismán, Chiapas",14.962767999999999,-92.148176,"Villaflores , Chiapas",2.0,16.2329693,-93.2734517
47,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579," Ixtapan de la Sal , México",2.0,18.8390501,-99.6760096
48,"Talismán, Chiapas",14.962767999999999,-92.148176," Irapuato , Guanajuato",2.0,20.6786652,-101.3544964
49,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Valle Hermoso , Tamaulipas",2.0,25.6683739,-97.8159111
50,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579," Salina Cruz , Oaxaca",2.0,16.1842839,-95.20876249999999
51,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Río Bravo , Tamaulipas",2.0,25.9860315,-98.09563279999999
52,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Anáhuac , Nuevo León",2.0,27.241196,-100.1334498
53,"Ciudad Hidalgo, Chiapas",14.679726,-92.150326,"Suchiapa , Chiapas",2.0,16.6238059,-93.1000854
54,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Sonora , Sonora",2.0,29.2972247,-110.3308814
55,"Talismán, Chiapas",14.962767999999999,-92.148176,"Ameca , Jalisco",2.0,20.5476292,-104.0466547
56,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Cihuatlán , Jalisco",2.0,19.2376572,-104.5684406
57,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Motozintla de Mendoza , Chiapas",2.0,15.3691977,-92.2458096
58,"Cuauhtémoc, Chiapas",15.665482999999998,-92.003579,"Ebano , San Luis Potosí",3.0,22.2165831,-98.3758762
59,"Carmen Xhán, Chiapas",16.043086,-91.755012,"San Juan Ixtayopan , Distrito Federal",3.0,19.2309165,-98.9990801
60,"El Ceibo, Tabasco",17.261546,-90.994378,"Apan , Hidalgo",3.0,19.711382,-98.45407
61,"El Ceibo, Tabasco",17.261546,-90.994378,"San Antonio Tecómitl , Distrito Federal",3.0,19.2194041,-98.9935558
62,"Talismán, Chiapas",14.962767999999999,-92.148176,"Frontera Comalapa , Chiapas",3.0,15.6604331,-92.1425385
63,"Carmen Xhán, Chiapas",16.043086,-91.755012,"Ciudad Acuña , Coahuila de Zaragoza",3.0,29.3232963,-100.9514187
